_id,timestamp,device_id,battery_start,battery_end,double_end_timestamp
10,1499755687208,0c735596-1a1c-4a35-bb02-55d90c4f86ac,29,20,1499756525848
11,1499758307215,0c735596-1a1c-4a35-bb02-55d90c4f86ac,30,30,1499758313268
12,1499760725324,0c735596-1a1c-4a35-bb02-55d90c4f86ac,55,50,1499761478366
13,1499776534931,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,77,1499779433119
14,1499810424735,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,65,1499820585113
15,1499826384703,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,95,1499826786811
16,1499830309470,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,63,1499833936675
17,1499834323098,0c735596-1a1c-4a35-bb02-55d90c4f86ac,66,63,1499835063720
22,1499837437707,08da45e3-bc56-4425-bad2-55d191676b79,51,51,1499837442321
18,1499839986809,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,97,1499840421991
19,1499842587312,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,91,1499843176516
23,1499858930865,08da45e3-bc56-4425-bad2-55d191676b79,100,99,1499859055241
24,1499876003322,08da45e3-bc56-4425-bad2-55d191676b79,100,3,1499906546091
548,1499885774919,815717e9-cd15-4d4e-b35c-a0206bc0aa24,85,35,1499914785076
20,1499895609044,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,89,1499896403498
21,1499900411077,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,78,1499907582830
25,1499906945227,08da45e3-bc56-4425-bad2-55d191676b79,9,9,1499906962582
26,1499907887976,08da45e3-bc56-4425-bad2-55d191676b79,25,25,1499907894258
27,1499910876322,08da45e3-bc56-4425-bad2-55d191676b79,57,57,1499910876576
28,1499913359940,08da45e3-bc56-4425-bad2-55d191676b79,72,71,1499913431236
29,1499913545725,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913547235
30,1499913576792,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913577844
31,1499913640812,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913641690
32,1499913896556,08da45e3-bc56-4425-bad2-55d191676b79,71,70,1499913951011
33,1499913955095,08da45e3-bc56-4425-bad2-55d191676b79,70,7,1499948214503
41,1499925691530,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,93,1499931582736
42,1499932645674,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,95,1499934617886
549,1499934069957,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934072199
550,1499934073043,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934073883
551,1499934074000,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934074367
552,1499934075888,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934076240
43,1499935548149,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,91,1499936183843
553,1499936412269,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499936414925
554,1499937358173,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937359733
555,1499937363077,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937371451
556,1499937373810,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937373862
557,1499937397410,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937397586
44,1499940363284,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,73,1499953644900
558,1499940609459,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,36,1499980979965
1150,1499941411861,d58c3cb9-2543-4258-8695-ac3e310ba3ac,100,5,1500002245299
486,1499944411488,53f52117-1170-4972-af68-8ecbe2132e72,100,14,1500029350283
34,1499948215118,08da45e3-bc56-4425-bad2-55d191676b79,7,7,1499948217968
35,1499948226446,08da45e3-bc56-4425-bad2-55d191676b79,7,7,1499948230781
36,1499949565764,08da45e3-bc56-4425-bad2-55d191676b79,24,23,1499949609279
37,1499953474495,08da45e3-bc56-4425-bad2-55d191676b79,62,21,1499965803804
38,1499972950735,08da45e3-bc56-4425-bad2-55d191676b79,90,54,1499978605251
559,1499983163738,815717e9-cd15-4d4e-b35c-a0206bc0aa24,55,55,1499983164010
560,1499983164674,815717e9-cd15-4d4e-b35c-a0206bc0aa24,55,55,1499983166016
45,1499983210304,0c735596-1a1c-4a35-bb02-55d90c4f86ac,97,57,1499993531395
561,1499983236613,815717e9-cd15-4d4e-b35c-a0206bc0aa24,55,55,1499983239746
39,1499983308787,08da45e3-bc56-4425-bad2-55d191676b79,96,52,1499998658043
562,1499983427633,815717e9-cd15-4d4e-b35c-a0206bc0aa24,57,57,1499983427809
563,1499984068539,815717e9-cd15-4d4e-b35c-a0206bc0aa24,64,64,1499984081599
